dataset,spec,algorithm,seed,MAE,RMSE,MMRE,MdMRE,PRED25,SA
COCOMO81,raw,SVR,43,641.1663576597487,1315.9017470216586,2.4475980073283212,1.5014658469442643,9.523809523809522,51.42236170760633
COCOMO81,raw,SVR,44,644.4977812349788,1204.439068897714,2.6917188755957144,0.9689823357625066,10.714285714285712,54.63565602382444
COCOMO81,raw,SVR,45,642.4371392384028,1167.5876816033306,2.7685536056317153,2.2322733623322897,6.19047619047619,56.04843863292221
COCOMO81,raw,SVR,46,663.4585111914,1332.3215237709526,2.6655157229962514,0.9889843655124528,6.428571428571428,51.95776223836955
COCOMO81,raw,SVR,47,651.3556421028787,1310.298847750985,2.5382323218096134,1.264430518991334,12.857142857142856,52.687276344132954
COCOMO81,raw,SVR,48,648.9054977027779,1259.6452839526203,2.7880169100142957,2.1470722894317453,9.285714285714283,54.35719994723841
COCOMO81,raw,SVR,49,620.7817479688958,1124.4778590718818,2.472081192654808,1.2781340118422557,14.523809523809522,56.82065634422521
COCOMO81,raw,SVR,50,629.2639689944522,1147.8626240908775,2.6409457433546137,1.023434273494698,6.19047619047619,57.588857060148484
COCOMO81,raw,SVR,51,650.3484881287353,1339.7783963123131,2.5830058739160657,0.9843278941049493,14.047619047619046,51.784673022380254
COCOMO81,semilog,LR,42,63492.015245469345,155268.30890146826,11.432886361700309,0.9565704653039593,14.523809523809522,-3395.4772853751974
COCOMO81,semilog,LR,43,57835.73895066624,152559.9532999637,11.328776130278682,0.8552964990345711,17.619047619047613,-3997.110682237691
COCOMO81,semilog,LR,44,349161.8118830742,854760.7986994522,54.90283608138833,0.9686111683245716,16.904761904761905,-14007.137423978527
COCOMO81,semilog,LR,45,118530.7622342365,313126.09165082726,20.322027732995764,0.9021710594066861,19.047619047619044,-5490.642802992266
COCOMO81,semilog,LR,46,90253.42055736837,220792.2409039299,15.37956690397036,1.2172781476350605,14.285714285714283,-5810.970735364507
COCOMO81,semilog,LR,47,77049.89385029064,203419.54224213556,13.75167838644621,1.1647140596577663,12.619047619047617,-5391.9934686376855
COCOMO81,semilog,LR,48,77249.67497211247,188979.2021898057,13.201878797346206,0.8259986561298671,14.047619047619046,-4801.5964318771385
COCOMO81,semilog,LR,49,87199.18558679288,213257.43752745213,14.785827894954448,0.7630050598596946,12.857142857142856,-5638.064650629503
COCOMO81,semilog,LR,50,995510.1785042512,2633110.9977100072,152.56980599500102,0.6850374951377207,14.999999999999996,-65804.36137135533
COCOMO81,semilog,LR,51,39384.24539675509,96212.74293295048,7.951898777513128,0.724350907645325,14.047619047619046,-2464.83703496665
COCOMO81,semilog,DT,42,792.4680952380957,1532.2409298580842,1.4349910619364965,0.7906537254473921,12.857142857142856,28.95758318575198
COCOMO81,semilog,DT,43,570.9514285714288,1172.5177039364446,1.1114788727760054,0.7200321162047247,17.38095238095238,50.59802729139343
COCOMO81,semilog,DT,44,584.1471428571431,1080.3260604465006,1.1532727274803887,0.692716083364337,14.285714285714283,53.214284168349934
COCOMO81,semilog,DT,45,492.34476190476215,861.6959123940153,1.6063196954143906,0.9148466605341563,7.857142857142856,62.49123028549045
COCOMO81,semilog,DT,46,508.4442857142858,960.9975608623815,1.6352027518669061,0.8382164383011105,19.285714285714285,55.551923853137126
COCOMO81,semilog,DT,47,431.20285714285717,817.7164046881533,0.9321149165310085,0.7171902122540919,20.714285714285715,64.57890096499682
COCOMO81,semilog,DT,48,731.5959523809526,1396.1476974277045,1.457467867253834,0.7402861634521987,9.999999999999996,43.62941387357458
COCOMO81,semilog,DT,49,549.2885714285715,1006.3894407414953,1.2954759494670367,0.7498529174360626,17.142857142857142,61.693992665175735
COCOMO81,semilog,DT,50,590.9480952380952,1040.2729840345967,1.2374582949560478,0.7909119922893139,17.142857142857142,56.68220169017542
COCOMO81,semilog,DT,51,394.87619047619035,724.2568384326071,1.281596633405639,0.7830411570694653,12.38095238095238,67.17638557285835
COCOMO81,semilog,RF,42,458.6487471559634,974.1666269647097,0.7557106147090689,0.564011700105551,17.14285714285714,65.1924457499928
COCOMO81,semilog,RF,43,435.0098266176552,896.1554840717481,0.85365742039205,0.5663127193049733,19.76190476190476,67.75962058758876
COCOMO81,semilog,RF,44,429.4099184227938,819.1541232846367,0.7704650832563267,0.6227799015666821,17.619047619047613,70.38374674682144
COCOMO81,semilog,RF,45,443.85821501991467,805.7770239588996,0.9509808443979291,0.7290753011331418,17.857142857142854,71.07183002361369
COCOMO81,semilog,RF,46,465.44218477032007,927.4774980635582,0.8210758090977807,0.5827246846960291,16.190476190476186,66.7496731154229
COCOMO81,semilog,RF,47,428.99072523293535,844.1355150892678,0.7383226765337818,0.5242962468739502,19.523809523809522,71.86340679175316
COCOMO81,semilog,RF,48,454.5440356775081,915.236245739824,0.8235385861724712,0.636256987367701,17.38095238095238,68.20748231716526
COCOMO81,semilog,RF,49,427.50873380185504,807.879504489433,0.7532178926452404,0.5444632079711287,20.95238095238095,71.97244164056839
COCOMO81,semilog,RF,50,447.42006967862324,862.4572937906656,0.8240630102828141,0.602590473438568,12.857142857142856,67.81172764585668
