dataset,spec,algorithm,fold,MAE,RMSE,MMRE,MdMRE,PRED25,SA
COCOMO81,loglog,DT,6,169.33333333333346,237.43911500284318,0.742892723546018,0.684634845673807,16.666666666666664,77.57624240208965
COCOMO81,loglog,DT,7,285.8999999999999,443.7364007305838,0.45002637158913084,0.39072327044025146,33.33333333333333,70.01412232293045
COCOMO81,loglog,DT,8,2081.1666666666674,4395.440800799545,3.978354138465555,1.0512295081967211,0.0,-171.76145010916147
COCOMO81,loglog,DT,9,2349.3333333333344,4145.517579265587,1.229393071936041,0.5998748957464558,16.666666666666664,-28.83012398587845
COCOMO81,loglog,DT,10,180.5666666666667,403.6285338443422,0.47189104071297744,0.3996473699676758,33.33333333333333,77.10292519476147
COCOMO81,loglog,RF,1,305.29638528605716,655.8137700281408,1.314535098114273,0.8427241084174061,14.285714285714285,65.28615670802766
COCOMO81,loglog,RF,2,174.41322908729552,292.15154963122114,0.7489343827825701,0.6942750414619547,14.285714285714285,77.76392030192555
COCOMO81,loglog,RF,3,1324.022709215548,3381.6742613334995,0.6512035719503172,0.3771706534518014,42.857142857142854,34.23702712228894
COCOMO81,loglog,RF,4,639.4423857989399,1454.4059483393519,0.8839280695830016,0.681915208036803,16.666666666666664,57.40561269518272
COCOMO81,loglog,RF,5,314.16730197102316,539.6877381217877,0.6895372756582514,0.5252527888058426,16.666666666666664,61.615028117809445
COCOMO81,loglog,RF,6,134.9815251116751,172.48376566518743,0.5190714291211139,0.4910974938676619,16.666666666666664,82.12523819310759
COCOMO81,loglog,RF,7,169.16536808019376,255.21298189768046,0.6545564671213923,0.4528208884675259,33.33333333333333,82.25753048461301
COCOMO81,loglog,RF,8,180.0902844298312,230.5201680006853,0.8024999441659225,0.6721697322533773,0.0,76.48357643282347
COCOMO81,loglog,RF,9,1183.9635266455746,2390.096527942467,0.840090673485625,0.5534866489677118,16.666666666666664,35.075127156991826
COCOMO81,loglog,RF,10,161.6611073780706,368.2141006755242,0.6140566251876879,0.4927589949945861,16.666666666666664,79.50027800221498
COCOMO81,loglog,KNN,1,336.0008054533092,688.1325015577949,4.147239655015151,1.6340783545015807,14.285714285714285,61.79489876516613
COCOMO81,loglog,KNN,2,207.21755825285135,345.63310238526185,0.8493531156518276,0.6856433140114724,14.285714285714285,73.58167058621117
COCOMO81,loglog,KNN,3,1671.0214970977354,4095.3786790595163,1.026784026730662,0.784757377236301,0.0,17.00192101930148
COCOMO81,loglog,KNN,4,960.6038764766819,2260.1797080790793,1.0552225456287991,0.8541382473849028,16.666666666666664,36.01247826254985
COCOMO81,loglog,KNN,5,209.7727968833938,371.42711640827207,0.9576367332236191,0.576816900644558,16.666666666666664,74.36995238046696
COCOMO81,loglog,KNN,6,190.44667761576582,245.75457824860433,0.7254674806591411,0.725587891275618,0.0,74.78033385324818
COCOMO81,loglog,KNN,7,476.97885312738777,772.0503461756972,1.335638575999379,0.7659002852169319,0.0,49.973313940444996
COCOMO81,loglog,KNN,8,233.95037207554216,318.33236387895766,0.95877396956119,0.7353596420809514,0.0,69.4504561373458
COCOMO81,loglog,KNN,9,1568.0592137317474,2804.354039800772,2.0877257230162964,0.9670523906242838,0.0,14.012515782238932
COCOMO81,loglog,KNN,10,184.2799139004977,354.6348800334726,2.946389949532323,1.1783841523959924,16.666666666666664,76.63206032666082
COCOMO81,loglog,SVR,1,311.16875053314845,677.3083999641716,2.504360619910938,1.2428285215576185,0.0,64.61843715167018
COCOMO81,loglog,SVR,2,169.9568129818297,294.0846626100732,0.7004055157636078,0.6089533085919246,14.285714285714285,78.33207229479602
COCOMO81,loglog,SVR,3,1567.0022882330552,4006.9969134507314,0.5504297430169809,0.2715312416766514,42.857142857142854,22.168458091299147
COCOMO81,loglog,SVR,4,979.8925086760606,2362.9198780413035,0.4556842862376918,0.2865621048540255,33.33333333333333,34.72762838595934
COCOMO81,loglog,SVR,5,161.54760624551201,263.8856287618715,0.5617264890002903,0.3351758110888042,50.0,80.26210784997252
COCOMO81,loglog,SVR,6,154.98589104808323,206.76709647949622,0.5828071375222773,0.49050100271791164,33.33333333333333,79.47618473252938
