dataset,spec,seed,LR_mean_MAE,LR_max_fold_MAE,worst_project_row,worst_project_actual,worst_project_pred,size[loc],size[equivphyskloc],size[PointsAdjust],size[PointsNonAjust]
Desharnais,raw,47,2027.8976582208547,3525.650947039732,40,2352.0,12638.436029678905,,,793.0,698.0
Desharnais,raw,48,2220.321879180739,3243.2099509163368,40,2352.0,14280.796490770406,,,793.0,698.0
Desharnais,raw,49,2386.720975990035,4496.302548248534,40,2352.0,16584.676542809742,,,793.0,698.0
Desharnais,raw,50,2069.844773715007,3227.4150491571986,40,2352.0,13354.844259152153,,,793.0,698.0
Desharnais,raw,51,2123.0429596661743,3490.3336842967756,40,2352.0,13798.00143436048,,,793.0,698.0
Desharnais,semilog,42,1917.3252455041318,2586.3739965270743,76,23940.0,38122.223123799806,,,1127.0,1116.0
Desharnais,semilog,43,2008.5521781583836,4973.7711546948185,76,23940.0,40952.1968771597,,,1127.0,1116.0
Desharnais,semilog,44,2053.8124461055695,5371.648618585467,76,23940.0,48689.62808431561,,,1127.0,1116.0
Desharnais,semilog,45,1966.4316048513817,3326.6704446558456,76,23940.0,40822.1615256975,,,1127.0,1116.0
Desharnais,semilog,46,2106.4552857508875,4431.948379623553,76,23940.0,50395.46071248823,,,1127.0,1116.0
Desharnais,semilog,47,1944.442461945938,5636.186029856244,76,23940.0,45869.31346268297,,,1127.0,1116.0
Desharnais,semilog,48,2073.695632654206,4937.168349322935,76,23940.0,47654.606466108686,,,1127.0,1116.0
Desharnais,semilog,49,1981.2635915784297,4373.052946381076,76,23940.0,41351.40267214282,,,1127.0,1116.0
Desharnais,semilog,50,2076.477255338502,4691.010414858477,76,23940.0,54776.87758741383,,,1127.0,1116.0
Desharnais,semilog,51,1890.297796135724,3394.2827051466247,76,23940.0,39226.00140577382,,,1127.0,1116.0
Desharnais,loglog,42,1777.9769582174358,2361.020445031265,38,8050.0,17480.552439429397,,,447.0,523.0
Desharnais,loglog,43,1875.283978614641,3664.1211692534257,38,8050.0,20627.95796715639,,,447.0,523.0
Desharnais,loglog,44,1734.5739144899167,3059.219007561384,38,8050.0,17041.81395220416,,,447.0,523.0
Desharnais,loglog,45,1854.6799549382863,3047.738105420208,38,8050.0,22220.105991871533,,,447.0,523.0
Desharnais,loglog,46,1806.287927678351,3175.164202982548,38,8050.0,16906.407453026597,,,447.0,523.0
Desharnais,loglog,47,1758.4740122778858,3885.9908251960114,38,8050.0,19261.4254812258,,,447.0,523.0
Desharnais,loglog,48,1876.3138372819237,3236.8532489863055,38,8050.0,20275.27505595758,,,447.0,523.0
Desharnais,loglog,49,1759.4052082465737,2999.205594247015,38,8050.0,16625.896531700346,,,447.0,523.0
Desharnais,loglog,50,1806.6779745456784,3155.890644193645,38,8050.0,19409.549174977994,,,447.0,523.0
Desharnais,loglog,51,1841.5289798672814,3198.456016643479,76,23940.0,11774.967727646308,,,1127.0,1116.0
