dataset,algorithm,spec,metric,seed42,mean10,sd10,min10,max10
NASA93,LR,loglog,MdMRE,0.28877698229802723,0.2949829022487295,0.018119556482304063,0.25921110154208743,0.3181689355974344
NASA93,LR,loglog,PRED25,46.11111111111111,46.86666666666666,2.5834760348214143,42.888888888888886,51.55555555555556
NASA93,LR,loglog,SA,73.64061155501427,70.66419202891511,3.238119120293341,65.78373394758133,73.67497086683522
NASA93,DT,loglog,MAE,422.94399455226886,413.9613063897441,25.56297947930174,385.35229024326173,472.9586666666667
NASA93,DT,loglog,RMSE,745.6529894204997,770.2932030751093,53.93864964361794,721.0418855992755,877.7591524407022
NASA93,DT,loglog,MMRE,1.3993401293806453,1.0803715088858137,0.2720105438636355,0.7670956576465215,1.512700383296035
NASA93,DT,loglog,MdMRE,0.4727607621324578,0.4368963715434832,0.04955711343787815,0.3665709571033087,0.5377600752187934
NASA93,DT,loglog,PRED25,31.111111111111107,35.58888888888889,3.4987946190092694,29.77777777777778,40.99999999999999
NASA93,DT,loglog,SA,53.34288335887386,53.96572712103466,3.3484124457355464,45.6045115123491,57.827537034160194
NASA93,RF,loglog,MAE,311.94777198592635,297.6907336546942,12.264844703065448,281.9214674362103,316.21633719953167
NASA93,RF,loglog,RMSE,603.3113924153239,577.8262466298534,25.04458960655597,553.5903649396669,625.3842417620451
NASA93,RF,loglog,MMRE,0.645025325716406,0.5977747375419885,0.03340656640861786,0.5591814411676294,0.6562959265641192
NASA93,RF,loglog,MdMRE,0.38393962600580717,0.33796409468875294,0.028034435946771987,0.2995719749079634,0.38393962600580717
NASA93,RF,loglog,PRED25,38.666666666666664,41.47777777777778,2.778049369438885,36.77777777777778,45.44444444444444
NASA93,RF,loglog,SA,65.8477226791618,67.52748945401353,1.2751059289353275,65.65922541819953,69.06177764363662
NASA93,KNN,loglog,MAE,456.38769861820157,441.5019168944332,9.926366151416527,431.54039200191164,459.24875486578776
NASA93,KNN,loglog,RMSE,792.9807424956969,820.1385527436062,25.411853993465527,787.3699488555723,861.9384153102989
NASA93,KNN,loglog,MMRE,0.8980130632169725,0.8877520079742531,0.05862006440863876,0.7757587327102765,1.0013782586719975
NASA93,KNN,loglog,MdMRE,0.5838617020441801,0.5995809038205208,0.029727186066520892,0.5428377454806526,0.6419657088777091
NASA93,KNN,loglog,PRED25,18.22222222222222,21.544444444444444,3.885342298133145,15.333333333333334,26.333333333333325
NASA93,KNN,loglog,SA,52.847949968126706,51.92054935586003,1.291823765833936,49.67182934630757,54.12790730017464
NASA93,SVR,loglog,MAE,357.91485817723327,344.8565624150391,8.163949876489594,333.6867191609964,357.91485817723327
NASA93,SVR,loglog,RMSE,679.2085102817657,682.0078554233526,16.41471024808565,662.2332045247497,714.3005476005868
NASA93,SVR,loglog,MMRE,1.0150515399859292,0.9130000926130564,0.07766488900970411,0.8289661807341118,1.0252085049237616
NASA93,SVR,loglog,MdMRE,0.4261714420287069,0.40658023360139256,0.02114369987161798,0.3604465193981792,0.429123460715264
NASA93,SVR,loglog,PRED25,28.666666666666668,35.71111111111111,2.9819760344373734,28.666666666666668,38.77777777777778
NASA93,SVR,loglog,SA,63.10571816716451,63.22134983386301,0.9869161323306854,61.21947376938872,64.73327001892571
Desharnais,LR,raw,MAE,2242.659463581979,2171.822948313401,118.56448623052258,2015.5280954530194,2386.720975990035
Desharnais,LR,raw,RMSE,3049.2901184486036,2847.0526923288803,161.3957863348076,2646.6977927852026,3053.3869342456865
Desharnais,LR,raw,MMRE,0.7632956285919195,0.730558520698587,0.058278842335601655,0.6225639740476689,0.8016294697426358
Desharnais,LR,raw,MdMRE,0.3651643653252844,0.4316495349928431,0.05983996690198372,0.3651643653252844,0.5502720746556837
Desharnais,LR,raw,PRED25,29.107142857142854,29.5,2.8717385128468425,26.249999999999993,34.82142857142857
Desharnais,LR,raw,SA,44.28572622623929,47.26124997089023,3.3846532859076093,42.98516437312248,52.09632445971132
